RANG;A;A;B;B;1;2;3;3BIS;4;5;6;7;7;7BIS;8;9;10;11;12;13;13;14
14;CHATELET-LES HALLES-RER;NATION;FONTENAY-AUX-ROSES;LA CROIX DE BERNY;LOUVRE;LA CHAPELLE;BOURSE;;CITE;RICHARD LENOIR;RASPAIL;LE PELETIER;LE PELETIER;;GRANDS BOULEVARDS;ALMA-MARCEAU;CHARLES MICHELS;;CONCORDE;MIROMESNIL;MIROMESNIL;
15;GARE DE LYON;VINCENNES;ROBINSON;ANTONY;CHATELET;STALINGRAD;SENTIER;;SAINT-MICHEL;BREGUET-SABIN;DENFERT-ROCHEREAU;CHAUSSEE D'ANTIN-LA FAYETTE;CHAUSSEE D'ANTIN-LA FAYETTE;;BONNE NOUVELLE;FRANKLIN D. ROOSEVELT;JAVEL-ANDRE CITROEN;;ASSEMBLEE NATIONALE;SAINT-LAZARE;SAINT-LAZARE;
16;NATION;VAL DE FONTENAY;;FONTAINE-MICHALON;HOTEL DE VILLE;JAURES;REAUMUR-SEBASTOPOL;;ODEON;BASTILLE;SAINT-JACQUES;OPERA;OPERA;;STRASBOURG-SAINT-DENIS;SAINT-PHILIPPE-DU-ROULE;EGLISE D'AUTEUIL;;SOLFERINO;LIEGE;LIEGE;
17;VINCENNES;NEUILLY-PLAISANCE;;LES BACONNETS;SAINT-PAUL;COLONEL FABIEN;ARTS ET METIERS;;SAINT-GERMAIN DES PRES;QUAI DE LA RAPEE;GLACIERE;PYRAMIDES;PYRAMIDES;;REPUBLIQUE;MIROMESNIL;MICHEL-ANGE-AUTEUIL;;RUE DU BAC;PLACE CLICHY;PLACE CLICHY;
18;FONTENAY-SOUS-BOIS;BRY-SUR-MARNE;;MASSY-VERRIERES;BASTILLE;BELLEVILLE;TEMPLE;;SAINT-PLACIDE;GARE D'AUSTERLITZ;CORVISART;PALAIS-ROYAL;PALAIS-ROYAL;;FILLES DU CALVAIRE;SAINT-AUGUSTIN;PORTE D'AUTEUIL;;SEVRES-BABYLONE;LA FOURCHE;LA FOURCHE;
19;NOGENT-SUR-MARNE;NOISY-LE-GRAND-MONT D'EST;;MASSY-PALAISEAU;GARE DE LYON;COURONNES;REPUBLIQUE;;MONTPARNASSE-BIENVENUE;SAINT-MARCEL;PLACE D'ITALIE;PONT NEUF;PONT NEUF;;SAINT-SEBASTIEN-FROISSART;HAVRE-CAUMARTIN;BOULOGNE-JEAN JAURES;;RENNES;BROCHANT;GUY MOQUET;
20;JOINVILLE-LE-PONT;NOISY-CHAMPS;;PALAISEAU;REUILLY-DIDEROT;MENILMONTANT;PARMENTIER;;VAVIN;CAMPO-FORMIO;NATIONALE;CHATELET;CHATELET;;CHEMIN VERT;CHAUSSEE D'ANTIN-LA FAYETTE;BOULOGNE-PONT DE SAINT-CLOUD;;NOTRE-DAME-DES-CHAMPS;PORTE DE CLICHY;PORTE DE SAINT-OUEN;
21;SAINT-MAUR-CRETEIL;NOISIEL;;PALAISEAU-VILLEBON;NATION;PERE LACHAISE;SAINT-MAUR;;RASPAIL;PLACE D'ITALIE;CHEVALERET;PONT MARIE;PONT MARIE;;BASTILLE;RICHELIEU-DROUOT;BOULOGNE-JEAN JAURES;;MONTPARNASSE-BIENVENUE;MAIRIE DE CLICHY;GARIBALDI;
22;LE PARC DE SAINT-MAUR;LOGNES;;LOZERE;PORTE DE VINCENNES;PHILIPPE AUGUSTE;PERE LACHAISE;;DENFERT-ROCHEREAU;;QUAI DE LA GARE;SULLY-MORLAND;SULLY-MORLAND;;LEDRU-ROLLIN;GRANDS BOULEVARDS;MICHEL-ANGE-MOLITOR;;FALGUIERE;GABRIEL PERI;MAIRIE DE SAINT-OUEN;
23;CHAMPIGNY;TORCY;;LE GUICHET;SAINT-MANDE-TOURELLE;ALEXANDRE DUMAS;GAMBETTA;;MOUTON-DUVERNET;;BERCY;JUSSIEU;JUSSIEU;;FAIDHERBE-CHALIGNY;BONNE NOUVELLE;CHARDON-LAGACHE;;PASTEUR;LES AGNETTES;CARREFOUR PLEYEL;
24;LA VARENNE-CHENNEVIERES;BUSSY-SAINT-GEORGES;;ORSAY-VILLE;BERAULT;AVRON;PORTE DE BAGNOLET;;ALESIA;;DUGOMMIER;PLACE MONGE;PLACE MONGE;;REUILLY-DIDEROT;STRASBOURG-SAINT-DENIS;MIRABEAU;;VOLONTAIRES;LES COURTILLES;SAINT-DENIS-PORTE DE PARIS;
25;SUCY-BONNEUIL;VAL D'EUROPE;;BURES-SUR-YVETTE;CHATEAU DE VINCENNES;NATION;GALLIENI;;PORTE D'ORLEANS;;DAUMESNIL;CENSIER-DAUBENTON;CENSIER-DAUBENTON;;MONTGALLET;REPUBLIQUE;JAVEL-ANDRE CITROEN;;VAUGIRARD;;BASILIQUE DE SAINT-DENIS;
26;BOISSY-SAINT-LEGER;MARNE-LA-VALLEE-CHESSY;;LA HACQUINIERE;;;;;MAIRIE DE MONTROUGE;;BEL AIR;LES GOBELINS;LES GOBELINS;;DAUMESNIL;OBERKAMPF;;;CONVENTION;;SAINT-DENIS-UNIVERSITE;
27;;;;GIF-SUR-YVETTE;;;;;;;PICPUS;PLACE D'ITALIE;PLACE D'ITALIE;;MICHEL BIZOT;SAINT-AMBROISE;;;PORTE DE VERSAILLES;;;
28;;;;COURCELLE-SUR-YVETTE;;;;;;;NATION;TOLBIAC;TOLBIAC;;PORTE DOREE;VOLTAIRE;;;CORENTIN CELTON;;;
