Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris;Coordonnées;Latitude;Longitude
216;Métro;GAITE;1644148;13;;;;;Paris;14.0;48.8386383, 2.3225137;48.8386383;2.3225137
50;Métro;PONT CARDINET;4168538;14;;;;;Paris;17.0;48.8880133, 2.3137814;48.8880133;2.3137814
220;Métro;BEL AIR;1605573;6;;;;;Paris;12.0;48.8413382, 2.4009129;48.8413382;2.4009129
92;Métro;CRETEIL-PREFECTURE;3330602;8;;;;;Créteil;;48.78000282890859, 2.4593631290764044;48.78000282890859;2.4593631290764044
120;Métro;BONNE NOUVELLE;2806227;8;9;;;;Paris;10.0;48.8705324, 2.3487457;48.8705324;2.3487457
217;Métro;TELEGRAPHE;1636898;11;;;;;Paris;20.0;48.8754961, 2.3989653;48.8754961;2.3989653
53;Métro;MAIRIE DE CLICHY;4043071;13;;;;;Clichy;;48.90323367878661, 2.306010915009083;48.90323367878661;2.306010915009083
226;Métro;CORVISART;1570331;6;;;;;Paris;13.0;48.8298024, 2.3504805;48.8298024;2.3504805
94;Métro;LAUMIERE;3258568;5;;;;;Paris;19.0;48.8851647, 2.3794369;48.8851647;2.3794369
124;Métro;CHEVALERET;2748696;6;;;;;Paris;13.0;48.83495, 2.3681023;48.83495;2.3681023
225;Métro;SAINT-SULPICE;1571987;4;;;;;Paris;6.0;48.8511009, 2.3307034;48.8511009;2.3307034
55;Métro;MARCADET-POISSONNIERS;3982005;4;12;;;;Paris;18.0;48.8914837, 2.3497296;48.8914837;2.3497296
240;Métro;BUZENVAL;1448855;9;;;;;Paris;20.0;48.8518248, 2.4013274;48.8518248;2.4013274
96;Métro;OBERKAMPF;3205110;5;9;;;;Paris;11.0;48.8641124, 2.3694232;48.8641124;2.3694232
127;Métro;CHARONNE;2705320;9;;;;;Paris;12.0;48.8547411, 2.3853043;48.8547411;2.3853043
227;Métro;LOUIS BLANC;1548029;7;7bis;;;;Paris;10.0;48.8815943, 2.3657982;48.8815943;2.3657982
56;Métro;PYRAMIDES;3962698;7;14;;;;Paris;1.0;48.8657452, 2.3344687;48.8657452;2.3344687
242;Métro;RUE DU BAC;1423364;12;;;;;Paris;7.0;48.8551819, 2.3257541;48.8551819;2.3257541
99;Métro;FORT D'AUBERVILLIERS;3103518;7;;;;;Aubervilliers;;48.91494975727623, 2.4044090887818643;48.91494975727623;2.4044090887818643
132;Métro;ALMA-MARCEAU;2564842;9;;;;;Paris;8.0;48.8648683, 2.300292;48.8648683;2.300292
229;Métro;BROCHANT;1543298;13;;;;;Paris;17.0;48.8905757, 2.3202004;48.8905757;2.3202004
62;Métro;MARCEL SEMBAT;3874792;9;;;;;Boulogne Billancourt;;48.83362878105417, 2.2435786287393302;48.83362878105417;2.2435786287393302
252;Métro;MAISONS-ALFORT-LES JUILLIOTTES;1297495;8;;;;;Maisons -Alfort;;48.80335523705089, 2.4455741010301444;48.80335523705089;2.4455741010301444
100;Métro;ALESIA;3098136;4;;;;;Paris;14.0;48.8280318, 2.3270406;48.8280318;2.3270406
135;Métro;CRETEIL-UNIVERSITE;2496595;8;;;;;Créteil;;48.789920466889434, 2.45051152829059;48.789920466889434;2.45051152829059
235;Métro;WAGRAM;1508617;3;;;;;Paris;17.0;48.8840526, 2.3037389;48.8840526;2.3037389
